cas_rn,substance,regs,syns,used_for,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
25085-02-3,ACRYLAMIDE-SODIUM ACRYLATE RESIN,"['172.71', '173.31', '173.5']","['POLY(ACRYLAMIDE-CO-SODIUM ACRYLATE)', 'ACRYLAMIDE-SODIUM ACRYLATE RESIN', 'ACRYLIC ACID', ' SODIUM SALT', ' POLYMER WITH ACRYLAMIDE', 'POLY(2-PROPENAMIDE-CO-SODIUM ACRYLATE)', 'POLY(2-PROPENAMIDE-CO-SODIUM 2-PROPENOATE)', 'SODIUM POLYACRYLATE-ACRYLAMIDE RESIN', 'SODIUM ACRYLATE-ACRYLAMIDE COPOLYMER', '2-PROPENOIC ACID', ' SODIUM SALT', ' POLYMER WITH 2-PROPENAMIDE', '2-PROPENAMIDE-SODIUM 2-PROPENOATE COPOLYMER']",['BOILER WATER ADDITIVE'],,,,,
40623-75-4,ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER,"['173.31', '176.17']","['POLY(ACRYLAMIDOMETHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID)', 'ACRYLIC ACID-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID COPOLYMER', 'POLY(2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID)', 'POLY(ACRYLIC ACID-CO-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID)', 'POLY(2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-CO-2-PROPENOIC ACID)', '2-PROPENOIC ACID', ' POLYMER WITH 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID', '2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-2-PROPENOIC ACID COPOLYMER']",['BOILER WATER ADDITIVE'],,,,,
64365-11-3,ACTIVATED CARBON,['177.121'],"['CHARCOAL', ' ACTIVATED', 'ACTIVATED CHARCOAL', 'ACTIVATED CARBON', 'CARBON', ' ACTIVATED', 'ACTIVE CARBON']",['PROCESSING AID'],,,,,
124-04-9,ADIPIC ACID,"['175.3', '175.32', '176.17', '176.18', '177.12', '177.139', '177.15', '177.163', '177.168', '177.242', '177.26', '184.1009']","['ADIPIC ACID', 'HEXANEDIOIC ACID', '1', '4-BUTANEDICARBOXYLIC ACID']","['FLAVORING AGENT OR ADJUVANT', 'LEAVENING AGENT', 'PH CONTROL AGENT']",2011,3.0,25.0,,623
2035-75-8,ADIPIC ANHYDRIDE,['172.892'],"['ADIPIC ANHYDRIDE', '2', '7-OXEPANEDIONE', 'BUTANEDICARBOXYLIC ANHYDRIDE', 'HEXANEDIOIC ACID ANHYDRIDE', 'HEXANEDIOIC ANHYDRIDE']","['FLAVORING AGENT OR ADJUVANT', 'LEAVENING AGENT', 'PH CONTROL AGENT']",,,,,
714229-20-6,ADVANTAME,['172.803'],"['ADVANTAME', '2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanine monohydrate', '2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanate monohydrate', 'L-phenylalanine', ' N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-', ' 2-methyl ester', ' hydrate (1:1)', 'L-phenylalanine', ' N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-', ' 2-methyl ester', ' monohydrate', '2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanine hydrate (1:1)']",['NON-NUTRITIVE SWEETENER'],4716,25.0,,,
515-69-5,ALPHA-BISABOLOL,[],"['BISABOLOL', ' ALPHA', 'BISABOLOL', '5-hepten-2-ol', ' 6-methyl-2-(4-methyl-3-cyclohexen-1-yl)-', '6-methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-ol', '3-cyclohexene-1-methanol', ' alpha', '4-dimethyl-alpha-(4-methyl-3-pentenyl)-', ' (alpha R', ' 1R)-rel-', 'alpha', '4-dimethyl-alpha-(4-methyl-3-pentenyl)-', ' (alpha R', ' 1R)-rel-3-cyclohexene-1-methanol', '3-cyclohexene-1-methanol', ' alpha', ' 4-dimethyl-alpha-(4-methyl-3-penten-1-yl)- (alpha R', '1R)-rel-', 'alpha', ' 4-dimethyl-alpha-(4-methyl-3-penten-1-yl)- (alpha R', '1R)-rel-3-cyclohexene-1-methanol', 'InChI=1S/C15H26O/c1-12(2)6-5-11-15(4', '16)14-9-7-13(3)8-10-14/h6-7', '14', '16H', '5', '8-11H2', '1-4H3/t14-', '15-/m0/s1', 'InChIKey: RGZSQWQPBWRIAQ-GJZGRUSLSA-N']",['FLAVORING AGENT OR ADJUVANT'],4666,24.0,,,2031
107-95-9,BETA-ALANINE,[],"['ALANINE', ' BETA-', 'BETA-AMINOPROPIONIC ACID', '3-AMINOPROPANOIC ACID', 'BETA-ALANINE', '2-CARBOXYETHYLAMINE', '3-AMINOPROPIONIC ACID']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'NUTRIENT SUPPLEMENT']",3252,5.0,,,1418
302-72-7,DL-ALANINE,['172.54'],"['ALANINE', ' DL-', 'DL-ALANINE', '2-AMINOPROPANOIC ACID', ' DL-', 'ALANINE', ' DL-ALPHA-', 'ALANINE', ' (+-)-', 'ALANINE', ' (R', 'S)-']",['FLAVORING AGENT OR ADJUVANT'],3818,18.0,25.0,,1437
56-41-7,L-ALANINE,['172.32'],"['ALANINE', ' L-', 'ALANINE', ' ALPHA-', 'ALANINE', ' L-ALPHA-', 'AMINOPROPIONIC ACID', ' L-ALPHA-', '2-AMINOPROPANOIC ACID', ' L-', 'L-ALANINE', 'ALANINE', ' (S)-', 'ALANINE', ' L-(+)-', 'ALANINE', ' (S)-(+)-', '2-AMINOPROPANOIC ACID', ' (S)-']",['NUTRIENT SUPPLEMENT'],3818,18.0,25.0,,1437
39537-23-0,L-ALANYL-L-GLUTAMINE,[],"['ALANYL-GLUTAMINE', 'L-alanyl-L-glutamine', 'Ala-Gln', 'alanylglutamine', 'L-glutamine', ' L-alanyl-', 'glutamine', ' N2-L-alanyl-', 'InChI=1/C8H15N3O4/c1-4(9)7(13)11-5(8(14)15)2-3-6(10)12/h4-5H', '2-3', '9H2', '1H3', '(H2', '10', '12)(H', '11', '13)(H', '14', '15)/t4-', '5-/m0/s1', 'InChIKey: HJCMDXDYPOUFDY-WHFBIAKZSA-N', 'N2-L-alanylglutamine']",['FLAVORING AGENT OR ADJUVANT'],4712,25.0,,,2121
977005-72-3,ALBUMIN,"[' 133.124 ,  166.110']","['ALBUMIN', 'ALBUMINS']","['FIRMING AGENT', 'FORMULATION AID', 'NUTRIENT SUPPLEMENT', 'PROCESSING AID', 'PROPELLANT', 'STABILIZER OR THICKENER', 'SURFACE-ACTIVE AGENT', 'SURFACE-FINISHING AGENT', 'TEXTURIZER']",,,,,
977021-64-9,"ALCOHOL, DENATURED FORMULA 23A",['73.1'],"['ALCOHOL', ' SPECIALLY DENATURED # 23A', 'ALCOHOL', ' DENATURED FORMULA 23A']",['PROCESSING AID'],,,,,
977021-59-2,ALCOHOL SDA-3A,['73.1'],"['ALCOHOL', ' SPECIALLY DENATURED # 3A', 'ALCOHOL SDA-3A', 'ALCOHOL', ' DENATURED 3A']",['PROCESSING AID'],,,,,
84082-36-0,"ALFALFA, EXTRACT (MEDICAGO SATIVA L.)",['182.2'],"['ALFALFA EXTRACT', 'LUCERNE EXTRACT', 'MEDICAGO SATIVA EXTRACT', 'ALFALFA', ' EXT.']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2013,3.0,,,
977092-93-5,"ALFALFA, HERB AND SEED (MEDICAGO SATIVA L.)",['182.1'],['ALFALFA HERB AND SEED'],"['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",,,,,
977161-38-8,"ALGAE, BROWN, EXTRACT (MACROCYSTIS AND LAMINARIA SPP.)",['184.112'],"['ALGAE EXTRACT', ' BROWN', 'BROWN ALGAE EXTRACT']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2014,3.0,,,
977007-74-1,"ALGAE, RED (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))",['184.1121'],"['ALGAE', ' RED', 'RHODOPHYTA', 'RHODOPHYCOTA', 'RHODOPHYCEAE', 'ALGUE ROUGE (RHODOPHYCOTA)', 'RED ALGAE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2405,3.0,,,
977090-04-2,"ALGAE, RED, EXTRACT (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))",['184.1121'],"['ALGAE EXTRACT', ' RED', 'RED ALGAE EXTRACT']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",,,,,
9005-34-9,"ALGINATE, AMMONIUM","['173.31', '178.39', '184.1133']","['AMMONIUM ALGINATE', 'ALGINIC ACID', ' AMMONIUM SALT']","['EMULSIFIER OR EMULSIFIER SALT', 'FIRMING AGENT', 'FLAVOR ENHANCER', 'FORMULATION AID', 'PROCESSING AID', 'STABILIZER OR THICKENER', 'SURFACE-ACTIVE AGENT', 'TEXTURIZER']",2015,3.0,,,
9005-35-0,"ALGINATE, CALCIUM",['184.1187'],"['CALCIUM ALGINATE', 'ALGINIC ACID', ' CALCIUM SALT', 'ALGINATE', ' CALCIUM']","['EMULSIFIER OR EMULSIFIER SALT', 'FIRMING AGENT', 'FLAVOR ENHANCER', 'FORMULATION AID', 'PROCESSING AID', 'STABILIZER OR THICKENER', 'SURFACE-ACTIVE AGENT', 'TEXTURIZER']",2015,3.0,,,
9005-36-1,"ALGINATE, POTASSIUM",['184.161'],"['POTASSIUM ALGINATE', 'ALGINIC ACID', ' POTASSIUM SALT', 'POTASSIUM POLYALGINATE']","['EMULSIFIER OR EMULSIFIER SALT', 'FIRMING AGENT', 'FLAVOR ENHANCER', 'FORMULATION AID', 'PROCESSING AID', 'STABILIZER OR THICKENER', 'SURFACE-ACTIVE AGENT', 'TEXTURIZER']",,,,,
12698-40-7,"ALGINATE, SODIUM CALCIUM",[],"['CALCIUM SODIUM ALGINATE', 'ALGINIC ACID', ' CALCIUM SODIUM SALT', 'SODIUM CALCIUM ALGINATE']","['EMULSIFIER OR EMULSIFIER SALT', 'FIRMING AGENT', 'FLAVOR ENHANCER', 'FORMULATION AID', 'PROCESSING AID', 'STABILIZER OR THICKENER', 'SURFACE-ACTIVE AGENT', 'TEXTURIZER']",,,,,
9005-32-7,ALGINIC ACID,['184.1011'],"['ALGINIC ACID', 'Acid Algin G 2']","['EMULSIFIER OR EMULSIFIER SALT', 'FORMULATION AID', 'STABILIZER OR THICKENER']",,,,,
23444-65-7,"ALKANET ROOT, EXTRACT (ALKANNA TINCTORIA TAUSCH)--NLFG",[],"['ALKANET EXTRACT', 'ALKANET ROOT EXTRACT', 'ALCANNIN EXTRACT', 'ALKANNIN EXTRACT', 'ANCHUSIN EXTRACT', 'ALKANNA TINCTORIA EXTRACT', 'ORKANET EXTRACT', '1', '4-NAPHTHALENEDIONE', ' 5', '8-DIHYDROXY-6-(1-HYDROXY-4-METHYL-3-PENTENYL)-', ' (S)-', '5', '8-DIHYDROXY-6-(1-HYDROXY-4-METHYL-3-PENTENYL)-1', '4-NAPHTHALENEDIONE', ' (S)-', '1', '4-NAPHTHALENEDIONE', ' 5', '8-DIHYDROXY-6-(1-HYDROXY-4-METHYL-3-PENTENYL)-', ' (-)-', '5', '8-DIHYDROXY-6-(1-HYDROXY-4-METHYL-3-PENTENYL)-1', '4-NAPHTHALENEDIONE', ' (-)-']",,NLFG-2016,3.0,4.0," No longer FEMA GRAS (GRAS Pub. 4, 1970)",
68603-42-9,ALKANOLAMIDE OF COCONUT OIL FATTY ACIDS AND DIETHANOLAMINE,"['173.322', '176.18', '176.21', '177.28']","['COCOYL DIETHANOLAMIDE', 'ALKANOLAMIDE OF COCONUT OIL FATTY ACIDS AND DIETHANOLAMINE', 'AMIDES', ' COCO', ' N', 'N-BIS(HYDROXYETHYL)', 'COCONUT FATTY ACID DIETHANOLAMINE CONDENSATE', 'COCONUT OIL FATTY ACIDS DIETHANOLAMIDE', 'COCONUT OIL DIETHANOLAMIDE', 'DIETHANOLAMINE', ' COCONUT FATTY ACIDS CONDENSATE', 'N', 'N-BIS(HYDROXYETHYL)COCO AMIDE']",['PROCESSING AID'],,,,,
977043-74-5,"ALKYLENE OXIDE ADDUCTS OF ALKYL ALCOHOLS/PHOSPHATE ESTERS OF SAME, MIXTURE",['173.315'],"['ALKYLENE OXIDE ADDUCTS OF ALKYL ALCOHOLS/PHOSPHATE ESTERS OF SAME', ' MIXTURE']",,,,,,
977075-63-0,N-ALKYL(C8-C18 FROM COCONUT OIL) AMINE ACETATE,['172.71'],"['ALKYL(C8-18)AMMONIUM ACETATE', 'ALKYL(C8-18)AMINE ACETATE', 'C8-18 ALKYLAMINE ACETATE', 'FATTY ALCOHOL(C8-18)AMINE ACETATE', 'N-ALKYL(C8-C18)AMINE ACETATE']",,,,,,
977044-31-7,ALPHA-ALKYL-OMEGA-HYDROXY-POLY(OXYETHYLENE),['173.322'],"['PEG-5 ALKYL(C10-12) ETHER', 'ALPHA-ALKYL-OMEGA-HYDROXYPOLY(OXYETHYLENE) 10 CARBON 5 ETHYLENE OXIDE', 'C10-12 ALKYL PEG-5 ETHER']",['PROCESSING AID'],,,,,
977051-72-1,ALLSPICE (PIMENTA OFFICINALIS LINDL.),"['182.1', '101.22']","['ALLSPICE', 'PIMENTA', 'JAMAICA PEPPER', 'PIMENTA BERRY', 'PIMENTA OFFICINALIS', 'QUATRE-EPICES (PIMENTA OFFICINALIS OU DIOICA)', 'PIMENTO', 'PIMENTA DIOICA']","['COLOR OR COLORING ADJUNCT', 'FLAVORING AGENT OR ADJUVANT']",2017,3.0,,,
8006-77-7,"ALLSPICE, OIL (PIMENTA OFFICINALIS LINDL.)",['182.2'],"['ALLSPICE OIL', 'PIMENTA FRUIT OIL', 'PIMENTA BERRY OIL', 'OILS', ' PIMENTA', 'PIMENTA OFFICINALIS OIL']",['FLAVORING AGENT OR ADJUVANT'],2018,3.0,,,
977017-87-0,"ALLSPICE, OLEORESIN (PIMENTA OFFICINALIS LINDL.)",['182.2'],"['ALLSPICE OLEORESIN', 'PIMENTA OLEORESIN', 'PIMENTA BERRY OLEORESIN', 'PIMENTA OFFICINALIS OLEORESIN']",['FLAVORING AGENT OR ADJUVANT'],2019,3.0,25.0,,
79-78-7,ALLYL ALPHA-IONONE,['172.515'],"['ALLYL ALPHA-IONONE', '1-(2', '6', '6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-1', '6-HEPTADIEN-3-ONE', 'ALLYL CYCLOCITRYLIDENEACETONE', 'ALLYLIONONE', ' ALPHA-', 'BUTENYL ALPHA-CYCLOCITRYLIDENEMETHYL KETONE', 'CETONE V', 'CYCLOCITRYLIDENEMETHYL BUTENYL KETONE', ' ALPHA-', '1', '6-HEPTADIEN-3-ONE', ' 1-(2', '6', '6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-', 'ALLYL-ALPHA-IONONE']",['FLAVORING AGENT OR ADJUVANT'],2033,3.0,,,401
7493-63-2,ALLYL ANTHRANILATE,['172.515'],"['ALLYL ANTHRANILATE', 'ALLYL O-AMINOBENZOATE', 'ALLYL 2-AMINOBENZOATE', 'VINYL CARBINYL ANTHRANILATE', '2-PROPEN-1-YL ANTHRANILATE', '2-PROPEN-1-YL 2-AMINOBENZOATE', 'BENZOIC ACIC', ' 2-AMINO-', ' 2-PROPENYL ESTER', '2-PROPENYL 2-AMINOBENZOATE', 'ANTHRANILIC ACID', ' ALLYL ESTER']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2020,3.0,,,20
2051-78-7,ALLYL BUTYRATE,['172.515'],"['ALLYL BUTYRATE', '2-PROPEN-1-YL BUTANOATE', 'BUTANOIC ACID', ' 2-PROPENYL ESTER', '2-PROPENYL BUTANOATE', 'BUTYRIC ACID', ' ALLYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],2021,3.0,25.0,,2
1866-31-5,ALLYL CINNAMATE,['172.515'],"['ALLYL CINNAMATE', 'ALLYL BETA-PHENYLACRYLATE', 'ALLYL 3-PHENYL-2-PROPENOATE', 'PROPENYL CINNAMATE', 'VINYL CARBINYL CINNAMATE', '2-PROPEN-1-YL 3-PHENYL-2-PROPENOATE', '2-PROPENOIC ACID', ' 3-PHENYL-', ' 2-PROPENYL ESTER', '2-PROPENYL 3-PHENYL-2-PROPENOATE', 'CINNAMIC ACID', ' ALLYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],2022,3.0,,,19
20474-93-5,ALLYL CROTONATE,[],"['ALLYL CROTONATE', 'ALLYL BETA-METHYLACRYLATE', 'ALLYL TRANS-2-BUTENOATE', '2-PROPENYL TRANS-2-BUTENOATE', '2-BUTENOIC ACID', ' 2-PROPENYL ESTER', '2-PROPENYL 2-BUTENOATE', 'CROTONIC ACID', ' ALLYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],4072,22.0,,,
4728-82-9,ALLYL CYCLOHEXANEACETATE,['172.515'],"['ALLYL CYCLOHEXANEACETATE', 'ALLYL CYCLOHEXYLACETATE', 'ALLYL HEXAHYDROPHENYLACETATE', 'CYCLOHEXANEACETIC ACID', ' 2-PROPENYL ESTER', 'CYCLOHEXANEACETIC ACID', ' ALLYL ESTER', '2-PROPEN-1-YL CYCLOHEXANEACETATE', '2-PROPENYL CYCLOHEXANEACETATE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2023,3.0,,,12
7493-65-4,ALLYL CYCLOHEXANEBUTYRATE,['172.515'],"['ALLYL CYCLOHEXANEBUTYRATE', 'ALLYL HEXAHYDROPHENYLBUTYRATE', 'ALLYL 4-CYCLOHEXYLBUTYRATE', 'CYCLOHEXANEBUTANOIC ACID', ' 2-PROPENYL ESTER', 'CYCLOHEXANEBUTYRIC ACID', ' ALLYL ESTER', '2-PROPEN-1-YL CYCLOHEXANEBUTYRATE', '2-PROPENYL CYCLOHEXANEBUTANOATE']",['FLAVORING AGENT OR ADJUVANT'],2024,3.0,,,14
7493-66-5,ALLYL CYCLOHEXANEHEXANOATE,['172.515'],"['ALLYL CYCLOHEXANEHEXANOATE', 'ALLYL CYCLOHEXANECAPROATE', 'ALLYL HEXAHYDROPHENYLHEXANOATE', 'ALLYL 6-CYCLOHEXANEHEXANOATE', 'CYCLOHEXANEHEXANOIC ACID', ' 2-PROPENYL ESTER', 'CYCLOHEXANEHEXANOIC ACID', ' ALLYL ESTER', '2-PROPEN-1-YL CYCLOHEXANECAPROATE', '2-PROPENYL CYCLOHEXANEHEXANOATE']",['FLAVORING AGENT OR ADJUVANT'],2025,3.0,,,16
2705-87-5,ALLYL CYCLOHEXANEPROPIONATE,['172.515'],"['ALLYL CYCLOHEXANEPROPIONATE', 'ALLYL BETA-CYCLOHEXYLPROPIONATE', 'ALLYL HEXAHYDROPHENYLPROPIONATE', 'ALLYL 3-CYCLOHEXYLPROPIONATE', 'ALLYL CYCLOHEXYLPROPIONATE', 'CYCLOHEXANEPROPANOIC ACID', ' 2-PROPENYL ESTER', 'CYCLOHEXANEPROPIONIC ACID', ' ALLYL ESTER', '2-PROPEN-1-YL CYCLOHEXANEPROPIONATE', '2-PROPENYL CYCLOHEXANEPROPANOATE', '2-PROPENYL 3-CYCLOHEXYLPROPANOATE']",['FLAVORING AGENT OR ADJUVANT'],2026,3.0,,,13
7493-68-7,ALLYL CYCLOHEXANEVALERATE,['172.515'],"['ALLYL CYCLOHEXANEVALERATE', 'ALLYL CYCLOHEXANEPENTANOATE', 'ALLYL CYCLOHEXYLVALERATE', 'ALLYL HEXAHYDROPHENYLVALERATE', 'ALLYL 5-CYCLOHEXYLPENTANOATE', 'CYCLOHEXANEPENTANOIC ACID', ' 2-PROPENYL ESTER', 'CYCLOHEXANEVALERIC ACID', ' ALLYL ESTER', '2-PROPEN-1-YL CYCLOHEXANEPENTANOATE', '2-PROPEN-1-YL CYCLOHEXANEVALERATE', '2-PROPENYL CYCLOHEXANEPENTANOATE']",['FLAVORING AGENT OR ADJUVANT'],2027,3.0,,,15
21593-77-1,S-ALLYL-L-CYSTEINE,[],"['S-ALLYL-L-CYSTEINE', 'L-cysteine', ' S-2-propen-1-yl-', 'S-2-propen-1-yl-L-cysteine', 'L-cysteine', ' S-2-propenyl-', 'S-2-propenyl-L-cysteine', 'alanine', ' 3-(allylthio)-', ' L-', '3-(allylthio)alanine', ' L-', 'alanine', ' 3-(allylthio)-', '3-(allylthio)alanine', 'InChI=1S/C6H11NO2S/c1-2-3-10-4-5(7)6(8)9/h2', '5H', '1', '3-4', '7H2', '(H', '8', '9)', 'InChIKey: ZFAHNWWNDFHPOH-UHFFFAOYSA-N']",['FLAVORING AGENT OR ADJUVANT'],4322,23.0,,,1710
6627-88-9,"4-ALLYL-2,6-DIMETHOXYPHENOL",[],"['4-ALLYL-2', '6-DIMETHOXYPHENOL', 'METHOXYEUGENOL', 'PHENOL', ' 2', '6-DIMETHOXY-4-(2-PROPENYL)-', 'PHENOL', ' 4-ALLYL-2', '6-DIMETHOXY-', '2', '6-DIMETHOXY-4-ALLYLPHENOL', '2', '6-DIMETHOXYCHAVICOL', '2', '6-DIMETHOXY-4-(2-PROPENYL)PHENOL', '4-ALLYLSYRINGOL', '4-HYDROXY-3', '5-DIMETHOXYALLYLBENZENE', '6-METHOXYEUGENOL']",['FLAVORING AGENT OR ADJUVANT'],3655,13.0,,,726
2179-57-9,ALLYL DISULFIDE,['172.515'],"['ALLYL DISULFIDE', 'DIALLYL DISULFIDE', '2-PROPENYL DISULFIDE', 'DISULFIDE', ' DI-2-PROPENYL', 'DI(2-PROPENYL) DISULFIDE', '4', '5-DITHIA-1', '7-OCTADIENE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2028,3.0,,,572
7493-69-8,ALLYL 2-ETHYLBUTYRATE,['172.515'],"['ALLYL 2-ETHYLBUTYRATE', 'BUTANOIC ACID', ' 2-ETHYL-', ' 2-PROPENYL ESTER', 'BUTYRIC ACID', ' 2-ETHYL-', ' 2-PROPENYL ESTER', '2-PROPENYL 2-ETHYLBUTANOATE', '2-PROPENYL 2-ETHYLBUTYRATE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2029,3.0,,,11
4208-49-5,ALLYL 2-FUROATE,[],"['ALLYL 2-FUROATE', 'ALLYL FUROATE', 'ALLYL FURAN-2-CARBOXYLATE', 'ALLYL PYROMUCATE', '2-PROPEN-1-YL FURAN-2-CARBOXYLATE', '2-PROPEN-1-YL 2-FUROATE', '2-FURANCARBOXYLIC ACID', ' 2-PROPENYL ESTER', '2-PROPENYL 2-FURANCARBOXYLATE', '2-FUROIC ACID', ' ALLYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],2030,3.0,,,21
142-19-8,ALLYL HEPTANOATE,[],"['ALLYL HEPTANOATE', 'ALLYL HEPTYLATE', 'ALLYL ENANTHATE', 'ALLYL HEPTOATE', 'HEPTANOIC ACID', ' 2-PROPENYL ESTER', 'HEPTANOIC ACID', ' ALLYL ESTER', '2-PROPENYL HEPTANOATE']",['FLAVORING AGENT OR ADJUVANT'],2031,3.0,,,4
123-68-2,ALLYL HEXANOATE,['172.515'],"['ALLYL HEXANOATE', 'ALLYL CAPROATE', '2-PROPENYL HEXANOATE', 'HEXANOIC ACID', ' 2-PROPENYL ESTER', 'HEXANOIC ACID', ' ALLYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],2032,3.0,,,3
977075-30-1,ALLYL HEXENOATE,[],"['ALLYL HEXENOATE', 'ALLYL TRANS-2-HEXENOATE', 'ALLYL 2-HEXENOATE', '2-PROPENYL 2-HEXENOATE']",,,,,,
57-06-7,ALLYL ISOTHIOCYANATE,['172.515'],"['ALLYL ISOTHIOCYANATE', 'MUSTARD OIL', ' VOLATILE', 'ALLYL MUSTARD OIL', 'ALLYL ISOSULFOCYANATE', 'ALLYL THIOCARBONIMIDE', '2-PROPENYL ISOTHIOCYANATE', 'MUSTARD OIL', ' VOLATILE', ' SYNTHETIC', '3-ISOTHIOCYANATO-1-PROPENE', 'SYNTHETIC MUSTARD OIL', '1-PROPENE', ' 3-ISOTHIOCYANATO-', 'ISOTHIOCYANIC ACID', ' ALLYL ESTER', 'ALLYL THIOISOCYANATE']",['FLAVORING AGENT OR ADJUVANT'],2034,3.0,,,1560
2835-39-4,ALLYL ISOVALERATE,['172.515'],"['ALLYL ISOVALERATE', 'ALLYL ISOPENTANOATE', 'ALLYL ISOVALERIANATE', 'ALLYL 3-METHYLBUTANOATE', '2-PROPENYL ISOPENTANOATE', '2-PROPENYL ISOVALERATE', '2-PROPENYL 3-METHYLBUTANOATE', 'BUTANOIC ACID', ' 3-METHYL-', ' 2-PROPENYL ESTER', 'ISOVALERIC ACID', ' ALLYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],2045,3.0,25.0,,7
870-23-5,ALLYL MERCAPTAN,['172.515'],"['ALLYLTHIOL', '2-PROPENE-1-THIOL', 'ALLYL SULFHYDRATE', 'ALLYL MERCAPTAN']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2035,3.0,,,521
2179-58-0,ALLYL METHYL DISULFIDE,[],"['ALLYL METHYL DISULFIDE', 'DISULFIDE', ' METHYL 2-PROPENYL', 'DISULFIDE', ' ALLYL METHYL', 'METHYL ALLYL DISULFIDE', 'METHYL 2-PROPENYL DISULFIDE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3127,4.0,,,568
34135-85-8,ALLYL METHYL TRISULFIDE,[],"['ALLYL METHYL TRISULFIDE', 'METHYL ALLYL TRISULFIDE', 'METHYL 2-PROPENYL TRISULFIDE', 'TRISULFIDE', ' METHYL 2-PROPENYL', 'TRISULFIDE', ' ALLYL METHYL']",['FLAVORING AGENT OR ADJUVANT'],3253,5.0,,,586
7493-72-3,ALLYL NONANOATE,['172.515'],"['ALLYL NONANOATE', 'ALLYL NONYLATE', 'ALLYL PELARGONATE', '2-PROPENYL NONANOATE', '2-PROPENYL PELARGONATE', 'NONANOIC ACID', ' 2-PROPENYL ESTER', 'NONANOIC ACID', ' ALLYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],2036,3.0,,,6
4230-97-1,ALLYL OCTANOATE,['172.515'],"['ALLYL OCTANOATE', 'ALLYL CAPRYLATE', 'ALLYL OCTYLATE', '2-PROPENYL OCTANOATE', '2-PROPENYL OCTYLATE', 'OCTANOIC ACID', ' 2-PROPENYL ESTER', 'OCTANOIC ACID', ' ALLYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],2037,3.0,,,5
501-92-8,4-ALLYLPHENOL,[],"['CHAVICOL', 'HYDROXYALLYLBENZENE', ' P-', 'ALLYLPHENOL', ' P-', '4-(2-PROPENYL)PHENOL', 'PHENOL', ' P-ALLYL-', 'PHENOL', ' 4-(2-PROPENYL)-', '4-ALLYLPHENOL']",['FLAVORING AGENT OR ADJUVANT'],4075,22.0,,,1527
