cas_rn,substance,regs,syns
94-36-0,BENZOYL PEROXIDE,"172.814, 175.105, 176.17, 177.242, 177.26, 184.1157, 133.102 ,  133.106 ,  133.111 ,  133.141 ,  133.165 ,  133.181 ,  133.183 ,  133.195 ,  137.105","['DIBENZOYL PEROXIDE', 'BENZOYL SUPEROXIDE', 'PEROXIDE, DIBENZOYL', 'BENZOPEROXIDE']"
100-51-6,BENZYL ALCOHOL,"73.1001, 172.515, 175.105, 175.3, 177.121","['ALPHA-HYDROXYTOLUENE', 'PHENYLCARBINOL', 'PHENYLMETHANOL', 'PHENYLMETHYL ALCOHOL', 'BENZENEMETHANOL', 'BENZENECARBINOL', '(hydroxymethyl)benzene', 'toluenol, alpha-']"
120-51-4,BENZYL BENZOATE,"172.515, 175.105","['BENZYL BENZENECARBOXYLATE', 'BENZYL PHENYLFORMATE', 'BENZOIC ACID, PHENYLMETHYL ESTER', 'PHENYLMETHYL BENZOATE', 'BENZOIC ACID, BENZYL ESTER']"
121888-67-3,BENZYLBIS(HYDROGENATED TALLOW)METHYLAMMONIUM HECTORITE-BIS(HYDROGENATED TALLOW)DIMETHYLAMMONIUM HECTORITE COMPOUND,175.3,"['HECTORITE, MODIFIED WITH BENZYLBIS(HYDROGENATED TALLOW ALKYL)METHYLAMMONIUM CHLORIDE AND BIS(HYDROGENATED TALLOW ALKYL)DIMETHYLAMMONIUM CHLORIDE', 'QUATERNARY AMMONIUM COMPOUNDS, BENZYLBIS(HYDROGENATED TALLOW ALKYL)METHYL, BIS(HYDROGENATED TALLOW ALKYL)DIMETHYLAMMONIUM SALT WITH HECTORITE']"
5437-45-6,BENZYL BROMOACETATE,175.105,"['ACETIC ACID, BROMO-, PHENYLMETHYL ESTER', 'PHENYLMETHYL BROMOACETATE', 'ACETIC ACID, BROMO-, BENZYL ESTER']"
120-32-1,ORTHO-BENZYL-PARA-CHLOROPHENOL,178.101,"['NSC-59989', '4-chloro-alpha-phenyl-o-cresol', 'benzyl-p-chlorophenyl, o-', '2-benzyl-4-chlorophenol', 'o-cresol, 4-chloro-alpha-phenyl-', 'phenol, 4-chloro-2-(phenylmethyl)-', '4-chloro-2-(phenylmethyl)phenol', '2-hydroxy-5-chlorodiphenylmethane', 'clorofene', 'chlorophene']"
71011-24-0,BENZYL(HYDROGENATED TALLOW)DIMETHYLAMMONIUM BENTONITE,175.3,"['BENTONITE, MODIFIED WITH BENZYL(HYDROGENATED TALLOW)DIMETHYLAMMONIUM CHLORIDE', 'QUATERNARY AMMONIUM COMPOUNDS, BENZYL(HYDROGENATED TALLOW ALKYL)DIMETHYL, SALTS WITH BENTONITE']"
121888-68-4,BENZYL(HYDROGENATED TALLOW)DIMETHYLAMMONIUM BENTONITE-SODIUM STEARATE COMPOUND,175.3,"['BENTONITE, MODIFIED WITH BENZYL(HYDROGENATED TALLOW)DIMETHYLAMMONIUM CHLORIDE AND SODIUM STEARATE', 'BENTONITE, MODIFIED WITH SODIUM STEARATE AND BENZYL(HYDROGENATED TALLOW)DIMETHYLAMMONIUM CHLORIDE', 'QUATERNARY AMMONIUM COMPOUNDS, BENZYL(HYDROGENATED TALLOW ALKYL)DIMETHYL, STEARATES, SALTS WITH BENTONITE']"
56-93-9,BENZYLTRIMETHYLAMMONIUM CHLORIDE,177.242,"['AMMONIUM, BENZYLTRIMETHYL-, CHLORIDE', 'BENZENEMETHANAMINIUM, N,N,N-TRIMETHYL-, CHLORIDE', 'N,N,N-TRIMETHYLBENZENEMETHANAMINIUM CHLORIDE', 'TRIMETHYLBENZYLAMMONIUM CHLORIDE']"
95-39-6,BICYCLO-(2.2.1)HEPT-2-ENE-6-METHYLACRYLATE,"175.105, 176.17, 176.18","['BICYCLO(2.2.1)HEPT-5-EN-2-YLMETHYL ACRYLATE', '5-NORBORNEN-2-YLMETHYL ACRYLATE', 'BICYCLO(2.2.1)HEPT-2-ENE-6-METHYL ACRYLATE', '2-PROPENOIC ACID, BICYCLO(2.2.1)HEPT-5-EN-2-YLMETHYL ESTER', 'BICYCLO(2.2.1)HEPT-5-EN-2-YLMETHYL 2-PROPENOATE', 'ACRYLIC ACID, 5-NORBORNEN-2-YLMETHYL ESTER', '2,5-ENDOMETHYLENE-DELTA3-TETRAHYDROBENZYL ACRYLATE']"
92-52-4,BIPHENYL,178.201,"['DIPHENYL', 'PHENYLBENZENE', ""1,1'-BIPHENYL"", ""1,1'-DIPHENYL"", 'BIBENZENE']"
